HE Provider,No of publications,Academic Year (start),Business and Community Servicies (Income),Continous Profesional Development and Continous Education (income),Collaborative Research (income),Intelectual Property Rights (income),Total comprehensive income for the year,Total staff
The University of East Anglia,2210,2022,18689,21574,21897,1913,1382024,33720
"University of the Arts, London",223,2020,1171,53268,2847,192,1379156,30820
The University of Leicester,3477,2021,25009,27886,9144,2072,1360904,29720
University of Hertfordshire,1050,2021,15265,21177,1747,115,1357884,27560
The Nottingham Trent University,1082,2019,8231,47552,763,112,1356524,
The University of Reading,2260,2022,11851,39903,8740,55,1351208,30660
The University of Leeds,5277,2016,71729,11482,34847,871,1349836,62800
Loughborough University,2388,2021,32887,1873,17283,365,1349044,29840
The University of Strathclyde,2747,2018,38599,32066,48701,715,1344864,30800
The Manchester Metropolitan University,1276,2018,3107,48460,4943,33,1344320,38480
"University of the Arts, London",212,2019,2177,81890,2121,122,1342164,30760
Anglia Ruskin University,837,2022,3098,104224,632,16,1341200,18580
The University of Strathclyde,2852,2019,40704,33700,60231,571,1339284,32400
The University of Essex,1567,2022,26277,11329,3180,9,1336228,25720
"University of the West of England, Bristol",1086,2020,6556,56284,9610,70,1335192,33040
The University of Leicester,3018,2018,23593,77100,10908,1215,1323700,31280
The University of Leicester,2888,2017,23027,83252,10671,888,1321460,31600
Sheffield Hallam University,785,2022,8171,18374,3920,58,1318688,36040
Loughborough University,2292,2019,25703,11943,18463,159,1309324,31200
The University of East Anglia,2208,2017,18109,27409,14281,921,1308172,32280
The University of Leicester,2921,2019,23616,55383,10257,1001,1302852,31100
The University of Dundee,1727,2022,27843,5339,5120,623,1302840,25680
The University of Lancaster,3103,2020,17555,13952,27378,321,1302476,32320
The Manchester Metropolitan University,1202,2017,3489,55471,4528,21,1301184,37240
The University of Birmingham,5133,2015,56173,11104,12428,453,1300852,59440
The University of Sussex,2393,2018,20467,2469,1456,36,1294600,26560
The University of Lancaster,3036,2019,18311,21201,19131,419,1293804,32920
University of Nottingham,6330,2016,44290,8312,50063,841,1292332,61880
The University of St. Andrews,2015,2022,22702,3851,1661,974,1289780,24920
"University of the Arts, London",199,2018,2085,105963,1393,225,1286520,29680
The University of Reading,2103,2018,15950,48033,9417,32,1286460,33540
The University of East Anglia,2526,2021,17917,28722,11907,1784,1285712,32880
The University of Birmingham,5605,2016,56294,11176,4772,488,1282980,60240
The University of Sussex,2314,2019,20878,2142,1425,80,1282032,27160
The University of East Anglia,2367,2020,20878,22857,14911,1604,1280084,31640
The University of Lancaster,3091,2018,20533,15030,23840,145,1277680,32360
The University of Leeds,5009,2015,71408,17237,33221,758,1273342,60320
Anglia Ruskin University,822,2021,2789,109687,814,16,1271464,16040
The University of Sheffield,5186,2015,44557,13963,54188,2096,1271448,57920
University of Nottingham,5789,2015,42243,7548,48407,683,1270548,60160
Swansea University,2072,2019,9695,20955,42238,501,1270020,30560
The University of Reading,2072,2017,15786,44678,8810,48,1268700,32120
The University of Reading,2190,2021,12506,33982,8316,38,1267428,30980
Birmingham City University,624,2022,2789,80534,834,1038,1267328,
The University of Leicester,3313,2020,23947,31976,9400,1756,1266736,30480
The University of Surrey,2948,2022,31432,10143,15070,1212,1265324,25800
The University of Sussex,2537,2020,20573,4576,1117,21,1264320,27920
The University of Surrey,2506,2018,25363,11968,19233,705,1261100,26360
The University of Surrey,2513,2019,26604,5750,17084,631,1260660,24980
Sheffield Hallam University,857,2021,8628,16150,5542,72,1259780,34880
The University of Reading,2093,2019,14923,37661,9666,35,1255372,32960
The University of St. Andrews,2248,2021,23940,5179,1380,1620,1254600,24440
The Nottingham Trent University,1001,2018,7934,46563,1076,78,1252004,35640
The University of Portsmouth,1594,2022,9029,38124,1958,2464,1249752,31520
Loughborough University,2145,2018,25724,8474,19441,280,1247264,30120
The University of Sheffield,5742,2016,60876,13608,49977,4760,1247126,58420
Loughborough University,2289,2020,26789,2300,17563,207,1246780,29920
The University of Reading,2186,2020,13535,18682,9222,57,1244080,31700
The University of Bath,2236,2018,6283,58351,17301,138,1238976,28780
"University of the Arts, London",208,2017,2123,102561,718,168,1235532,29260
Swansea University,1879,2017,7544,31766,24216,548,1233060,28200
The University of East Anglia,2246,2018,16036,29132,12356,1015,1230536,32260
The University of Greenwich,955,2022,5492,4684,192,36,1228068,16160
The University of Surrey,2942,2021,27061,8936,22877,441,1221276,25680
The University of Strathclyde,2709,2017,35926,32092,48088,443,1217656,29740
The University of Bristol,6025,2016,61590,5820,11746,885,1216092,51660
The University of Glasgow,5343,2016,41157,15858,25355,1231,1215686,60760
The University of East Anglia,2260,2019,17787,20668,13985,1909,1215536,34440
"University of the West of England, Bristol",1157,2019,5411,36331,10312,40,1212676,32560
Loughborough University,2159,2017,25034,8650,18967,348,1203240,30400
University of Hertfordshire,874,2020,12383,25368,3186,107,1200344,26880
Sheffield Hallam University,858,2020,7713,11952,6792,88,1200036,34160
The University of Surrey,2573,2020,27004,8314,17205,352,1199076,25360
The University of Bath,2455,2019,7071,53214,14051,321,1190644,29640
The University of Surrey,2424,2017,24532,12184,16022,686,1190024,25720
The University of Sussex,2354,2017,19262,2433,1159,60,1189392,26560
The University of Warwick,4507,2016,35540,13244,32380,149,1181832,53120
The University of Southampton,6415,2016,72127,15780,33327,1153,1178270,52280
The University of Central Lancashire,1112,2022,18593,111962,5647,250,1169976,27220
The University of Dundee,1804,2021,18958,3643,5931,513,1167968,25520
The University of Glasgow,5090,2015,46644,15380,22483,1002,1165104,58160
The University of Portsmouth,1508,2021,7985,54302,3386,2329,1162084,30600
Sheffield Hallam University,892,2019,6698,6724,5252,48,1161840,34600
The University of St. Andrews,2027,2020,17712,1592,812,924,1161512,23640
The Nottingham Trent University,929,2017,8232,43603,1437,78,1161040,34040
The University of Bath,2603,2020,6703,57980,12872,225,1157808,29160
Birmingham City University,579,2021,2414,81287,880,639,1153944,
The University of Lancaster,2969,2017,14422,7296,26780,88,1152912,31520
The University of Bath,2309,2017,6175,53348,18160,210,1152568,28080
The University of Bristol,5646,2015,56833,5335,8872,721,1152514,49920
The University of Warwick,4211,2015,37548,13664,24880,116,1147178,50480
Sheffield Hallam University,875,2018,6906,6628,5748,42,1146176,36080
The University of Essex,1564,2021,20754,11517,3510,41,1137424,24520
"University of the West of England, Bristol",1171,2018,4052,41410,7521,43,1136272,31920
The University of Portsmouth,1601,2020,6168,64906,3750,1944,1130164,28200
Brunel University London,1791,2022,4610,14863,6509,4,1129492,21400
Ulster University,1393,2022,12891,12212,20849,30,1125804,
London School of Hygiene and Tropical Medicine,4270,2022,24476,15749,60008,19,1112740,14240
The University of Central Lancashire,995,2021,17659,100567,5883,182,1111828,26200
The University of Southampton,6142,2015,69226,9614,35662,877,1109704,50840
Liverpool John Moores University,1686,2022,5158,5404,1851,2,1109080,
"City, University of London",1170,2022,4463,24201,3080,270,1106904,25520
Sheffield Hallam University,836,2017,6091,7140,4952,29,1106616,34860
The University of Dundee,1615,2020,22258,2611,4487,944,1104888,26260
Birmingham City University,494,2020,4919,63096,675,533,1098428,
The University of Portsmouth,1436,2019,5967,46832,2869,2003,1094212,31880
Heriot-Watt University,1734,2022,9169,8154,5976,406,1092856,17400
The University of Greenwich,980,2021,5828,5273,492,176,1088804,15000
University of Hertfordshire,893,2018,13248,21887,668,116,1087132,27440
"University of the West of England, Bristol",965,2017,2071,34875,4398,26,1085460,30720
Brunel University London,1758,2021,1710,10171,14325,0,1085396,20720
University of Hertfordshire,987,2019,9661,20776,2189,138,1082208,26760
Anglia Ruskin University,747,2020,2832,95115,722,0,1075496,14440
The University of Aberdeen,2448,2022,19273,184733,19181,14,1074540,28600
The University of Salford,809,2022,5331,25638,4281,25,1073524,20120
University of Hertfordshire,947,2017,11428,19880,659,80,1069864,27260
De Montfort University,856,2022,652,91475,1719,0,1065300,24240
University of Plymouth,1340,2022,8184,9593,9058,174,1061296,
The University of Central Lancashire,975,2020,15096,73648,3431,38,1060256,25180
Canterbury Christ Church University,465,2022,3329,57257,12,0,1055232,14880
The University of St. Andrews,2191,2019,17044,2597,213,1282,1046692,22660
The University of Liverpool,4655,2016,28002,37246,23449,683,1046184,49000
London School of Hygiene and Tropical Medicine,4390,2021,21033,15770,62776,1,1045532,13740
The University of Essex,1458,2020,18592,12505,3256,54,1045532,23240
The University of Portsmouth,1281,2018,6295,53096,2611,2182,1044384,31720
The University of Aberdeen,2356,2021,17807,200248,19343,227,1043636,27560
Heriot-Watt University,1925,2021,4681,600,6596,439,1042484,16460
The University of Westminster,584,2022,1220,13682,1462,0,1041680,23240
Ulster University,1425,2021,14118,14798,18157,615,1037896,
Liverpool John Moores University,1581,2021,3997,4936,2021,5,1031584,
"City, University of London",1213,2021,4734,16443,3263,333,1031188,24280
The University of St. Andrews,2236,2018,14923,5090,187,1334,1029792,22220
Birmingham City University,458,2019,2155,66804,236,370,1025736,
The University of Dundee,1794,2018,22688,7234,2904,1376,1025412,26000
Cardiff University,3976,2015,12082,81296,32234,1845,1023506,54600
De Montfort University,1143,2019,3529,38407,1298,0,1015412,25800
The University of Dundee,1644,2019,25029,4869,5648,755,1013372,26360
Cardiff University,4559,2016,11851,133294,17945,1837,1010246,54840
The University of St. Andrews,2304,2017,14575,2972,329,992,1007612,21140
Liverpool John Moores University,1613,2020,3657,3612,3036,0,1000364,
The University of Essex,1393,2019,19465,8773,4391,18,998952,24180
University of Plymouth,1411,2017,6116,11256,1408,173,994772,23120
The University of East London,418,2022,1853,19462,662,0,991844,15680
The University of Salford,796,2021,4378,23603,4303,32,991524,18080
The University of Liverpool,4187,2015,27579,33865,31868,524,990308,46720
London School of Hygiene and Tropical Medicine,3051,2018,12757,21862,62814,13,990020,12580
